post,versionId,threadId,version,topic,writerModel,decision
P,2bbef9b1-daec-476c-933e-3efb5625e7c8,thread_d9e5d2e2,1,Faculdade não serve mais para nada no mercado de trabalho,,ACCEPT
O,e32459bd-18be-47a6-934a-52c45cfe0270,thread_42d7a382,1,"Abrir uma empresa no Brasil, do CNPJ à primeira nota fiscal",,ACCEPT
N,42e7d9f9-1cb0-4f0d-9040-dc6232f76592,thread_499c1658,1,"Qual é o salário médio de um gerente de projetos no Brasil hoje, por região?",,ACCEPT
M,f827e624-a2b5-4e9d-9ce2-7d4aa7fad501,thread_d93ab052,1,Como sair de zero a cem clientes em duas semanas?,,ACCEPT
L,5037f215-6494-4a97-9ab6-b5c5aa29a72a,thread_c0c50f18,1,Por que reuniões de retrospectiva não mudam nada?,,ACCEPT
K,ca4e7359-7b34-427c-bf4c-fa3d7c5c0f0f,thread_ac67443f,1,Falta de motivação nas equipes,,ACCEPT
J,faff6e09-abe3-4239-a2c6-ef7d85a21a71,thread_5b68fe54,1,Programadores júnior deixarão de ser contratados a partir de 2027,,ACCEPT
I,0b2248eb-622b-4e8f-82e2-2624e6fce506,thread_7d493545,1,Inteligência artificial vai transformar o futuro do trabalho,,ACCEPT
H,8c2fce5f-8d39-4002-9221-af4bdc7bfafe,thread_d1389092,1,Qual é o futuro da programação?,,ACCEPT
G,fbd386f9-6a55-4b7e-968d-97f79e803b81,thread_8277c792,1,"Estimativas de prazo que sempre estouram, em todo projeto, em todo time",,ACCEPT
F,f2c6af88-3d87-46f4-8efc-2ea894756021,thread_0081350f,1,Certificações técnicas perderam valor no processo de contratação,,ACCEPT
E,e33f2e99-0499-4a66-a196-3f53ce44ea34,thread_d747a769,1,Como dobrar a produtividade do time de desenvolvimento em 30 dias?,,ACCEPT
D,aa283937-168b-4747-a318-adab8c8d12bb,thread_79b0ac3d,1,Código legado que ninguém quer tocar e que ninguém consegue substituir,,ACCEPT
C,62f5e3bd-2042-48c8-a342-f02184e29066,thread_5d76e9f5,1,Reuniões diárias em pé viraram ritual vazio na maior parte dos times de tecnologia,,ACCEPT
B,29aadc68-9116-4247-a39c-95141fe6d9b8,thread_8a1c0be9,1,Como uma equipe pequena decide entre construir ou comprar uma solução de software?,,ACCEPT
A,629a7185-337b-44e7-bb81-85111e62a10b,thread_4bd69195,1,O que é dívida técnica e como explicá-la para quem não é da área técnica?,,ACCEPT
