post,formOrder,versionId,threadId,version,trigger,topic,postSize,writerModel,judgeLoop,judgeRetries,revisionCount,status,charCount,clarity,relevance,professional,engagement,overall,decision,coherenceClamped,judgeModel,judgeTemperature,rubricVersion,rubricHash,judgedAt,createdAt
A,1,629a7185-337b-44e7-bb81-85111e62a10b,thread_4bd69195,1,initial,O que é dívida técnica e como explicá-la para quem não é da área técnica?,small,,true,0,0,awaiting_review,896,4,3,4,4,3,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:21:43.715Z,2026-08-29T18:31:01.712Z
J,2,faff6e09-abe3-4239-a2c6-ef7d85a21a71,thread_5b68fe54,1,initial,Programadores júnior deixarão de ser contratados a partir de 2027,small,,true,0,0,awaiting_review,1361,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:21:11.473Z,2026-08-29T18:54:35.140Z
D,3,aa283937-168b-4747-a318-adab8c8d12bb,thread_79b0ac3d,1,initial,Código legado que ninguém quer tocar e que ninguém consegue substituir,medium,,true,0,0,awaiting_review,1867,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:21:32.235Z,2026-08-29T18:37:05.460Z
L,4,5037f215-6494-4a97-9ab6-b5c5aa29a72a,thread_c0c50f18,1,initial,Por que reuniões de retrospectiva não mudam nada?,medium,,true,0,0,awaiting_review,1686,4,3,5,3,3,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:21:05.017Z,2026-08-29T18:57:41.198Z
F,5,f2c6af88-3d87-46f4-8efc-2ea894756021,thread_0081350f,1,initial,Certificações técnicas perderam valor no processo de contratação,medium,,true,0,0,awaiting_review,1227,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:21:25.142Z,2026-08-29T18:44:52.084Z
P,6,2bbef9b1-daec-476c-933e-3efb5625e7c8,thread_d9e5d2e2,1,initial,Faculdade não serve mais para nada no mercado de trabalho,medium,,true,0,0,awaiting_review,1197,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:20:49.601Z,2026-09-02T05:58:25.387Z
I,7,0b2248eb-622b-4e8f-82e2-2624e6fce506,thread_7d493545,1,initial,Inteligência artificial vai transformar o futuro do trabalho,medium,,true,0,0,awaiting_review,1309,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:21:14.622Z,2026-08-29T18:51:09.350Z
E,8,e33f2e99-0499-4a66-a196-3f53ce44ea34,thread_d747a769,1,initial,Como dobrar a produtividade do time de desenvolvimento em 30 dias?,small,,true,0,0,awaiting_review,938,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:21:28.251Z,2026-08-29T18:39:25.575Z
H,9,8c2fce5f-8d39-4002-9221-af4bdc7bfafe,thread_d1389092,1,initial,Qual é o futuro da programação?,medium,,true,0,0,awaiting_review,1555,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:21:18.555Z,2026-08-29T18:48:35.893Z
C,10,62f5e3bd-2042-48c8-a342-f02184e29066,thread_5d76e9f5,1,initial,Reuniões diárias em pé viraram ritual vazio na maior parte dos times de tecnologia,medium,,true,0,0,awaiting_review,1183,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,v2,732946eb8d5147df,2026-09-08T05:21:36.372Z,2026-08-29T18:35:08.688Z
