post,versionId,condition,run,charCount,clarity,relevance,professional,engagement,overall,decision,coherenceClamped,judgeModel,judgeTemperature,rubricHash,judgedAt
A,629a7185-337b-44e7-bb81-85111e62a10b,original,1,896,4,3,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:46:51.621Z
A,629a7185-337b-44e7-bb81-85111e62a10b,original,2,896,4,3,4,4,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:46:56.058Z
A,629a7185-337b-44e7-bb81-85111e62a10b,original,3,896,4,3,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:46:58.915Z
A,629a7185-337b-44e7-bb81-85111e62a10b,original,4,896,4,3,4,4,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:02.077Z
A,629a7185-337b-44e7-bb81-85111e62a10b,original,5,896,4,3,4,4,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:05.063Z
A,629a7185-337b-44e7-bb81-85111e62a10b,truncated35,1,313,4,3,4,2,3,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:07.926Z
J,faff6e09-abe3-4239-a2c6-ef7d85a21a71,original,1,1361,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:11.512Z
J,faff6e09-abe3-4239-a2c6-ef7d85a21a71,original,2,1361,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:13.868Z
J,faff6e09-abe3-4239-a2c6-ef7d85a21a71,original,3,1361,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:16.988Z
J,faff6e09-abe3-4239-a2c6-ef7d85a21a71,original,4,1361,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:19.094Z
J,faff6e09-abe3-4239-a2c6-ef7d85a21a71,original,5,1361,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:21.651Z
J,faff6e09-abe3-4239-a2c6-ef7d85a21a71,truncated35,1,470,3,3,4,2,3,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:23.840Z
D,aa283937-168b-4747-a318-adab8c8d12bb,original,1,1867,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:25.952Z
D,aa283937-168b-4747-a318-adab8c8d12bb,original,2,1867,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:28.405Z
D,aa283937-168b-4747-a318-adab8c8d12bb,original,3,1867,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:31.272Z
D,aa283937-168b-4747-a318-adab8c8d12bb,original,4,1867,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:39.656Z
D,aa283937-168b-4747-a318-adab8c8d12bb,original,5,1867,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:46.829Z
D,aa283937-168b-4747-a318-adab8c8d12bb,truncated35,1,650,3,4,4,2,3,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:55.100Z
L,5037f215-6494-4a97-9ab6-b5c5aa29a72a,original,1,1686,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:47:57.221Z
L,5037f215-6494-4a97-9ab6-b5c5aa29a72a,original,2,1686,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:48:06.053Z
L,5037f215-6494-4a97-9ab6-b5c5aa29a72a,original,3,1686,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:48:13.387Z
L,5037f215-6494-4a97-9ab6-b5c5aa29a72a,original,4,1686,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:48:20.608Z
L,5037f215-6494-4a97-9ab6-b5c5aa29a72a,original,5,1686,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:48:28.769Z
L,5037f215-6494-4a97-9ab6-b5c5aa29a72a,truncated35,1,587,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:48:35.221Z
F,f2c6af88-3d87-46f4-8efc-2ea894756021,original,1,1227,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:48:39.412Z
F,f2c6af88-3d87-46f4-8efc-2ea894756021,original,2,1227,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:48:47.980Z
F,f2c6af88-3d87-46f4-8efc-2ea894756021,original,3,1227,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:48:51.552Z
F,f2c6af88-3d87-46f4-8efc-2ea894756021,original,4,1227,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:48:59.317Z
F,f2c6af88-3d87-46f4-8efc-2ea894756021,original,5,1227,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:49:05.811Z
F,f2c6af88-3d87-46f4-8efc-2ea894756021,truncated35,1,426,3,2,4,2,2,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:49:14.389Z
P,2bbef9b1-daec-476c-933e-3efb5625e7c8,original,1,1197,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:49:18.465Z
P,2bbef9b1-daec-476c-933e-3efb5625e7c8,original,2,1197,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:49:26.166Z
P,2bbef9b1-daec-476c-933e-3efb5625e7c8,original,3,1197,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:49:33.235Z
P,2bbef9b1-daec-476c-933e-3efb5625e7c8,original,4,1197,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:49:39.687Z
P,2bbef9b1-daec-476c-933e-3efb5625e7c8,original,5,1197,4,4,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:49:46.744Z
P,2bbef9b1-daec-476c-933e-3efb5625e7c8,truncated35,1,410,3,3,4,2,3,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:49:54.527Z
I,0b2248eb-622b-4e8f-82e2-2624e6fce506,original,1,1309,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:49:59.042Z
